Título,Colecciones,Descripción,Estado audiovisual,Fecha,ID,Localidad,Lugar específico,Miniatura,País,Provincia,Slogan,URL,Verificado,Video,Videoxxx
XX Cumbre de Jefes Estado del Grupo de Río en Santo Domingo,Grupo de Río,,🔍 Buscar video,07/03/2008,CFK-20080307-01,Santo Domingo,,,República Dominicana,,,,No,,
Asunción de las nuevas autoridades del Partido Justicialista de Capital Federal,Acto partidario,,🔍 Buscar video,27/04/2005,CFK-20050427-01,,Estadio de Obras Sanitarias,,Argentina,Capital Federal,,,No,,
Presentación del programa Energía Total,,,🔍 Buscar video,10/03/2008,CFK-20080310-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Firma del contrato de adjudicación de los nuevos accesos ferroviarios al puerto de Buenos Aires,,,🔍 Buscar video,30/01/2008,CFK-20080130-01,,Casa de Gobierno,,Argentina,Capital Federal,,,No,,
Acto de inauguración de la Plaza Colón,,,🔍 Buscar video,06/12/2007,CFK-20071206-01,,,,Argentina,Capital Federal,,,No,,
Lanzamiento de la candidatura a Senadora Nacional por la provincia de Buenos Aires en el Teatro Argentino de La Plata,Acto partidario,,🔍 Buscar video,07/07/2005,CFK-20050707-01,La Plata,Teatro Argentino de La Plata,,Argentina,Buenos Aires,,,No,,
"Inauguración escuela en Larroque, Entre Ríos",,,🔍 Buscar video,10/03/2008,CFK-20080310-02,Larroque,,,Argentina,Entre Ríos,,,No,,
Llamado a licitación para la construcción de la planta potabilizadora Paraná de Las Palmas,,,🔍 Buscar video,31/01/2008,CFK-20080131-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
"Acto de asunción del intendente Sergio Massa del partido de Tigre, Provincia de Buenos Aires",,,🔍 Buscar video,07/12/2007,CFK-20071207-02,Tigre,,,Argentina,Buenos Aires,,,No,,
Homenaje a Evita en Berazategui,Evita,,🔍 Buscar video,26/07/2005,CFK-20050726-01,Berazategui,,,Argentina,Buenos Aires,,,No,,
Licitación de obras ferrocarril General Roca,,,🔍 Buscar video,11/03/2008,CFK-20080311-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
"Acto de adjudicación de obras para la ejecución del proyecto Circunvalar Rosario, provincia de Santa Fe",,,🔍 Buscar video,31/01/2008,CFK-20080131-02,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Cena agasajo a mandatarios extranjeros,,,🔍 Buscar video,09/12/2007,CFK-20071209-01,,Casa de Gobierno,,Argentina,Capital Federal,,,No,,
"Reunión con empresarios y sindicalistas realizada en Ginebra, Suiza",Organización Internacional del Trabajo,,🔍 Buscar video,12/06/2007,CFK-20070612-01,Ginebra,,,Suiza,,,,No,,
Visita a José C. Paz,,,🔍 Buscar video,12/09/2005,CFK-20051209-01,José C. Paz,,,Argentina,Buenos Aires,,,No,,
"Visita a una granja avícola en Concepción del Uruguay, provincia de Entre Ríos",,,🔍 Buscar video,01/02/2008,CFK-20080201-01,Concepción del Uruguay,,,Argentina,Entre Ríos,,,No,,
Firma de convenios para el Programa de Uso Racional de Energía,,,🔍 Buscar video,12/03/2008,CFK-20080312-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
"Palabras al término de la reunión con el director de la Organización Mundial de Comercio, Pascual Lamy",Conferencias de prensa y entrevistas,,🔍 Buscar video,14/06/2007,CFK-20070614-01,Ginebra,,,Suiza,,,,No,,
Asunción del mandato presidencial período 2007-2011,Asunciones y apertura de sesiones,,🔍 Buscar video,10/12/2007,CFK-20071210-01,,Congreso de la Nación,https://static.eldiario.es/clip/d77b3204-1556-4b6f-9f3a-d22abe7e20f9_16-9-discover-aspect-ratio_default_0.webp,Argentina,Capital Federal,,https://goo.su/XYze8,No,,https://goo.su/XYze8
"Discurso en la Organización Internacional del Trabajo en Ginebra, Suiza",Organización Internacional del Trabajo,,🔍 Buscar video,14/06/2007,CFK-20070614-02,Ginebra,Sede de la Organización Internacional del Trabajo,,Suiza,,,,No,,
"Visita a la ciudad de Necochea, provincia de Buenos Aires",,,🔍 Buscar video,04/02/2008,CFK-20080204-01,Necochea,,,Argentina,Buenos Aires,,,No,,
"Conferencia ""Realidad de América Latina y la Argentina”",Conferencias y disertaciones,,🔍 Buscar video,23/04/2007,CFK-20070423-01,Ciudad de México,,,México,,,,No,,
"Inauguración de la Ruta Nacional 81, Salta",,,🔍 Buscar video,13/03/2008,CFK-20080313-02,Salta,,,Argentina,Salta,,,No,,
Acto de clausura del segundo congreso internacional extraordinario de filosofía,Conferencias y disertaciones,,🔍 Buscar video,12/07/2007,CFK-20071207-01,San Juan,,,Argentina,San Juan,,,No,,
"Visita a la localidad de Máximo Paz, provincia de Buenos Aires",,,🔍 Buscar video,05/02/2008,CFK-20080205-01,Cañuelas,,,Argentina,Buenos Aires,,,No,,
"Acto de inauguración de obras en la ruta provincial 36, en Berazategui, provincia de Buenos Aires",,,🔍 Buscar video,12/12/2007,CFK-20071212-01,Berazategui,,,Argentina,Buenos Aires,,,No,,
Presentación de la candidatura presidencial,,,🔍 Buscar video,19/07/2007,CFK-20070719-01,La Plata,Teatro Argentino de La Plata,,Argentina,Buenos Aires,,,No,,
Lanzamiento del plan nacional de seguridad vial,,,🔍 Buscar video,06/02/2008,CFK-20080206-01,,Casa de Gobierno,,Argentina,Capital Federal,,,No,,
"Anuncio crédito fiscal 2008 para proyectos de Ciencia, Tecnología e Innovación Productiva",,,🔍 Buscar video,13/03/2008,CFK-20080313-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Discurso en el Senado mexicano,,,🔍 Buscar video,24/04/2007,CFK-20070424-02,Ciudad de México,Senado de México,,México,,,,No,,
"Acto de presentación del programa erradicación, limpieza y cierre de basurales en la cuenca matanza-riachuelo",,,🔍 Buscar video,13/12/2007,CFK-20071213-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Discurso en la localidad de Chivilcoy,,,🔍 Buscar video,02/10/2007,CFK-20071002-01,Chivilcoy,,,Argentina,Buenos Aires,,,No,,
"Visita a Villa Gobernador Gálvez, provincia de Santa Fe",,,🔍 Buscar video,26/02/2008,CFK-20080226-01,Villa Gobernador Gálvez,,,Argentina,Santa Fe,,,No,,
"Inauguración de obras de urbanización en la Villa La Cava, en San Isidro, provincia de Buenos Aires",,,🔍 Buscar video,27/12/2007,CFK-20071227-02,San Isidro,,,Argentina,Buenos Aires,,,No,,
Apertura de sobres al llamado de licitación para la construcción de la planta depuradora de líquidos cloacales en Berazategui,,,🔍 Buscar video,07/02/2008,CFK-20080207-01,Berazategui,,,Argentina,Buenos Aires,,,No,,
"Declaraciones después de la reunión con el presidente de la República Federativa de Brasil, Luiz Inacio ""Lula"" da Silva, en Brasilia.",Conferencias de prensa y entrevistas,,🔍 Buscar video,19/11/2007,CFK-20071119-01,Brasilia,,,Brasil,,,,No,,
"Ceremonia de egreso de las promociones 38, 39 y 40, del Instituto de Servicio Exterior de la Nación",,,🔍 Buscar video,13/12/2007,CFK-20071213-02,,Casa de Gobierno - Salón Blanco,,Argentina,Capital Federal,,,No,,
Apertura de ofertas para la licitación de obras de saneamiento en la cuenca Matanza-Riachuelo,,,🔍 Buscar video,26/02/2008,CFK-20080226-02,,Casa de Gobierno - Salón Blanco,,Argentina,Capital Federal,,,No,,
Presentación del plan de gestión integral de recursos hídricos de la cuenca Salí-Dulce,,,🔍 Buscar video,08/01/2008,CFK-20080108-01,,Casa de Gobierno,,Argentina,Capital Federal,,,No,,
Licitación para la extensión del Tranvía del Este de Retiro a La Boca,,,🔍 Buscar video,14/03/2008,CFK-20080314-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Acto de entrega de los premios Bernardo Boussay 2007,,,🔍 Buscar video,27/11/2007,CFK-20071127-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Acto de inauguración de la sala de cine argentino en la embajada argentina en México,,,🔍 Buscar video,24/04/2007,CFK-20070424-01,Ciudad de México,Embajada argentina en México,,México,,,,No,,
"Firma de convenio con municipios del conurbano bonaerense, en el marco del programa de uso racional y eficiente de energía",,,🔍 Buscar video,27/02/2008,CFK-20080227-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
"Inauguración de obras del canal de desvío de las aguas del Arroyo Aguapey, en Paraguay",,,🔍 Buscar video,29/11/2007,CFK-20071129-01,Ayolas,,,Paraguay,,,,No,,
"Inauguración del aeropuerto ""Gobernador Trejo Noel"", en la ciudad de Río Grande",,,🔍 Buscar video,08/02/2008,CFK-20080208-01,Río Grande,,,Argentina,Tierra del Fuego Antártida e Islas del Atlántico Sur,,,No,,
Presentación del plan de recursos hídricos de la cuenca Salí Dulce,,,🔍 Buscar video,09/01/2008,CFK-20080109-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Presentación del Plan Estratégico Territorial “Argentina del Bicentenario”,,,🔍 Buscar video,17/03/2008,CFK-20080317-01,,Casa de Gobierno - Salón Blanco,,Argentina,Capital Federal,,,No,,
"Acto de firma de contrato para la construcción de una usina termoeléctrica en Rio Turbio, provincia de Santa Cruz",,,🔍 Buscar video,14/12/2007,CFK-20071214-01,Rio Turbio,,,Argentina,Santa Cruz,,,No,,
"Cena anual del American Jewish Committe, en Washington, Estados Unidos",,,🔍 Buscar video,03/05/2007,CFK-20070503-01,Washington,,,Estados Unidos,,,,No,,
"Palabras al término de la audiencia con los representantes de las cámaras de supermercadistas, autoservicistas, almaceneros y distribuidores mayoristas",Conferencias de prensa y entrevistas,,🔍 Buscar video,30/11/2007,CFK-20071130-01,,Casa de Gobierno,,Argentina,Capital Federal,,,No,,
Presentación del plan federal de infraestructura para la ciencia y la tecnología año 2008-2011,,,🔍 Buscar video,28/02/2008,CFK-20080228-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Presentación del plan de capacitación de empleados jóvenes “Más y mejor trabajo”,,,🔍 Buscar video,10/01/2008,CFK-20080110-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
"Acto de inauguración de la muestra fotográfica de Walter Roil, en el calafate, provincia de Santa Cruz",,,🔍 Buscar video,17/03/2008,CFK-20080317-02,El Calafate,,,Argentina,Santa Cruz,,,No,,
Segundo Seminario internacional de modernización del Estado,Conferencias y disertaciones,,🔍 Buscar video,30/05/2007,CFK-20070530-01,,,,Argentina,,,,No,,
"Inauguración del campus de la Universidad San Martín, de la provincia de Buenos Aires",Universidades Nacionales,,🔍 Buscar video,19/12/2007,CFK-20071219-01,San Martín,Universidad Nacional de San Martín,,Argentina,Buenos Aires,,,No,,
Presentación y apertura de ofertas para el corredor ferroviario de alta velocidad Buenos Aires-Mar del Plata,,,🔍 Buscar video,08/02/2008,CFK-20080208-02,,Casa de Gobierno - Salón Blanco,,Argentina,Capital Federal,,,No,,
Inauguración del hotel de la UOCRA en Mar del Plata,,,🔍 Buscar video,17/12/2007,CFK-20071217-01,Mar del Plata,,,Argentina,Buenos Aires,,,No,,
